City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
195,chicama,-7.8447,-79.1469,24.3,79,66,2.45,PE,1679894772
196,ketchikan,55.3422,-131.6461,4.99,65,0,2.06,US,1679894609
197,kavaratti,10.5669,72.642,27.87,66,10,5.07,IN,1679894772
198,san pedro,14.35,121.0167,33.57,56,20,5.66,PH,1679894773
199,bela crkva,44.8975,21.4172,12.99,59,99,2.68,RS,1679894773
200,miri,4.4148,114.0089,31.08,70,40,3.09,MY,1679894774
201,victoria,22.2855,114.1577,19.58,82,100,2.24,HK,1679894495
202,maragogi,-9.0122,-35.2225,24.89,84,21,2.37,BR,1679894775
203,sao filipe,14.8961,-24.4956,21.29,72,31,3.89,CV,1679894775
204,gamba,-2.65,10.0,23.22,90,100,2.02,GA,1679894775
205,seminole,28.7086,-81.2081,26.2,79,75,2.06,US,1679894482
206,lasa,46.6166,10.7002,3.49,93,91,3.5,IT,1679894776
207,puri,19.8,85.85,32.29,74,9,6.01,IN,1679894777
208,cam ranh,11.9214,109.1591,31.98,55,0,4.12,VN,1679894777
209,olinda,-8.0089,-34.8553,26.85,74,75,2.57,BR,1679894508
210,gouyave,12.1646,-61.7296,25.0,75,23,8.49,GD,1679894778
211,ornskoldsvik,63.2909,18.7153,-9.47,67,0,4.63,SE,1679894778
212,puerto leguizamo,-0.1934,-74.7819,21.7,98,100,0.44,CO,1679894778
213,barcelos,41.5388,-8.6151,9.36,78,65,2.03,PT,1679894779
214,namatanai,-3.6667,152.4333,29.64,61,9,3.6,PG,1679894591
215,fortuna,40.5982,-124.1573,4.25,92,75,0.0,US,1679894736
216,komsomolskiy,40.4272,71.7189,18.4,42,99,1.03,UZ,1679894850
217,ostrovnoy,68.0531,39.5131,-9.26,87,99,2.56,RU,1679894851
218,ambilobe,-13.2,49.05,26.07,86,90,0.43,MG,1679894851
219,shakiso,5.75,38.9167,17.01,83,98,1.03,ET,1679894852
220,teguldet,57.3064,88.1667,1.41,99,100,4.75,RU,1679894852
221,krapivinskiy,54.9992,86.8133,2.25,92,87,3.3,RU,1679894853
222,havre-saint-pierre,50.2334,-63.5986,0.2,74,100,4.12,CA,1679894853
223,milos,36.75,24.4333,15.14,84,0,3.76,GR,1679894854
224,luwingu,-10.2621,29.9271,16.18,98,59,1.52,ZM,1679894854
225,poum,-20.2333,164.0167,27.16,81,68,10.05,NC,1679894855
226,pevek,69.7008,170.3133,-15.06,93,100,9.31,RU,1679894855
227,abu samrah,35.3029,37.1841,12.02,82,59,4.35,SY,1679894856
228,orvault,47.271,-1.6219,7.94,95,100,1.54,FR,1679894856
229,kruisfontein,-34.0033,24.7314,11.05,81,12,1.97,ZA,1679894857
230,reinosa,42.9996,-4.138,4.7,91,45,2.22,ES,1679894857
231,zhigansk,66.7697,123.3711,-7.99,73,42,4.08,RU,1679894857
232,boda,4.3189,17.4695,20.69,74,52,0.97,CF,1679894858
233,baykit,61.67,96.37,2.22,100,100,3.54,RU,1679894858
234,bakel,14.905,-12.4568,27.39,17,69,4.31,SN,1679894859
235,encruzilhada,-15.5314,-40.9094,20.03,98,58,1.23,BR,1679894859
236,bethel,41.3712,-73.414,7.28,53,0,0.0,US,1679894668
237,port augusta,-32.5,137.7667,26.59,54,88,4.82,AU,1679894860
238,oloron-sainte-marie,43.1944,-0.6107,9.3,95,82,1.93,FR,1679894860
239,odweyne,9.4092,45.064,24.09,61,27,4.94,SO,1679894861
240,pathein,16.7833,94.7333,35.82,26,0,4.73,MM,1679894861
241,longyearbyen,78.2186,15.6401,-14.09,78,40,2.06,SJ,1679894862
242,yima,34.7381,111.8839,19.42,29,26,1.89,CN,1679894862
243,leeton,-34.5667,146.4,24.38,63,100,4.45,AU,1679894863
244,torbay,47.6666,-52.7314,-0.24,94,100,6.69,CA,1679894863
245,chapais,49.7834,-74.8492,-2.12,96,100,4.26,CA,1679894863
246,malanje,-9.5402,16.341,17.57,99,100,1.29,AO,1679894864
247,kloulklubed,7.0419,134.2556,28.28,74,100,4.19,PW,1679894865
248,alofi,-19.0595,-169.9187,25.94,94,100,1.54,NU,1679894865
249,boueni,-12.9025,45.0761,29.99,78,84,4.43,YT,1679894866
250,makubetsu,45.3714,141.8211,3.84,60,40,11.32,JP,1679894866
251,marsa matruh,31.3525,27.2453,14.11,82,0,5.14,EG,1679894867
252,tura,25.5198,90.2201,28.37,42,49,2.78,IN,1679894867
253,katsuura,35.1333,140.3,13.08,70,100,8.57,JP,1679894865
254,najran,17.4924,44.1277,25.36,53,100,6.19,SA,1679894868
255,evensk,61.95,159.2333,-15.19,86,29,1.3,RU,1679894868
256,praya,14.9215,-23.5087,20.3,73,0,2.57,CV,1679894869
257,lumeje,-11.55,20.7833,18.25,98,100,2.82,AO,1679894869
258,qasigiannguit,68.8193,-51.1922,-14.86,89,96,1.57,GL,1679894870
259,carnarvon,-24.8667,113.6333,26.12,57,34,5.65,AU,1679894870
260,praia da vitoria,38.7333,-27.0667,15.42,88,20,12.37,PT,1679894662
261,rudbar,30.15,62.6,25.94,18,98,4.71,AF,1679894871
262,dhidhdhoo,6.8833,73.1,28.2,72,38,4.42,MV,1679894871
263,ust-kuyga,70.0167,135.6,-8.18,81,100,7.41,RU,1679894871
264,pacific grove,36.6177,-121.9166,8.82,76,0,3.09,US,1679894872
265,tasiilaq,65.6145,-37.6368,-13.91,74,28,1.49,GL,1679894873
266,mersing,2.4312,103.8405,30.95,70,40,6.17,MY,1679894873
267,jutai,-5.1833,-68.9,21.41,99,100,0.53,BR,1679894944
268,kirovskiy,45.0917,133.5136,7.42,27,14,5.53,RU,1679894944
269,choma,-16.8065,26.9531,18.0,75,67,1.36,ZM,1679894945
270,pong,19.1493,100.2752,38.65,16,1,2.21,TH,1679894771
271,petropavlovsk-kamchatskiy,53.0452,158.6483,1.33,44,75,1.0,RU,1679894946
272,atambua,-9.1061,124.8925,27.12,75,92,0.18,ID,1679894946
273,artyom,40.4723,50.333,12.08,74,94,7.45,AZ,1679894947
274,bathsheba,13.2167,-59.5167,26.34,73,75,9.77,BB,1679894947
275,janakkala,60.9,24.6,-4.55,93,100,5.27,FI,1679894948
276,gawler,-34.6,138.7333,23.59,78,95,4.48,AU,1679894652
277,chuy,-33.6971,-53.4616,16.26,79,36,2.59,UY,1679894948
278,port moresby,-9.4431,147.1797,31.68,66,40,7.72,PG,1679894949
279,beringovskiy,63.05,179.3167,-15.8,86,48,2.6,RU,1679894950
280,viedma,-40.8135,-62.9967,16.94,30,25,7.26,AR,1679894764
281,hofn,64.2539,-15.2082,-2.24,90,100,15.26,IS,1679894950
282,ancud,-41.8697,-73.8203,7.38,90,8,1.26,CL,1679894951
283,yuyao,30.05,121.1494,15.87,44,49,3.84,CN,1679894951
284,sterling,39.0062,-77.4286,10.44,66,0,1.54,US,1679894952
285,brae,60.3964,-1.353,2.57,52,98,9.47,GB,1679894952
286,slave lake,55.2834,-114.769,-8.01,62,100,2.06,CA,1679894953
287,svetlogorsk,52.6333,29.7333,3.96,94,16,2.88,BY,1679894953
288,sorland,67.667,12.6934,-2.08,48,6,3.37,NO,1679894954
289,jalu,29.0331,21.5482,14.08,73,0,3.4,LY,1679894954
290,talnakh,69.4865,88.3972,-18.22,91,77,1.16,RU,1679894955
291,bulgan,48.8125,103.5347,5.33,45,18,1.2,MN,1679894955
292,ahipara,-35.1667,173.1667,20.14,59,85,1.0,NZ,1679894956
293,aljustrel,37.8776,-8.1652,7.93,65,100,1.72,PT,1679894956
294,olafsvik,64.8945,-23.7142,-3.61,66,94,4.58,IS,1679894957
295,vardo,70.3705,31.1107,-3.01,74,100,6.17,NO,1679894957
296,behshahr,36.6923,53.5526,13.97,62,100,2.38,IR,1679894958
297,arlit,18.7369,7.3853,18.55,20,0,1.05,NE,1679894958
298,vostok,46.4856,135.8833,1.84,54,82,5.52,RU,1679894959
299,amahai,-3.3333,128.9167,28.98,73,84,1.45,ID,1679894959
300,shelburne,44.0787,-80.2041,0.72,76,99,2.21,CA,1679894960
301,naze,28.3667,129.4833,19.51,60,48,6.28,JP,1679894960
